oldcode;dis_code;dis_nom;dep_code;dep_nom;spr_code;spr_nom;pop;men
CI230306;J;Sassandra-Marahoue;J9;Zuénoula;J902;Voueboufla;25213;4779
CI230307;J;Sassandra-Marahoue;J9;Zuénoula;J903;Zanzra;44381;7278
CI230301;J;Sassandra-Marahoue;J9;Zuénoula;J904;Zuénoula;78613;14815
CI280101;K;Savanes;K1;Dikodougou;K101;Boron;34308;4587
CI280102;K;Savanes;K1;Dikodougou;K102;Dikodougou;47935;7362
CI280103;K;Savanes;K1;Dikodougou;K103;Guiembé;19872;3195
CI280202;K;Savanes;K2;Korhogo;K201;Dassoungboho;8703;1381
CI280203;K;Savanes;K2;Korhogo;K202;Kanoroba;24548;3436
CI280204;K;Savanes;K2;Korhogo;K203;Karakoro;22982;3498
CI280205;K;Savanes;K2;Korhogo;K204;Kiémou;31958;5822
CI280206;K;Savanes;K2;Korhogo;K205;Kombolokoura;8930;1776
CI280207;K;Savanes;K2;Korhogo;K206;Komborodougou;16703;2810
CI280208;K;Savanes;K2;Korhogo;K207;Koni;17054;2699
CI280201;K;Savanes;K2;Korhogo;K208;Korhogo;440926;81738
CI280209;K;Savanes;K2;Korhogo;K209;Lataha;26895;4516
CI280211;K;Savanes;K2;Korhogo;K210;Nafoun;10206;1442
CI280212;K;Savanes;K2;Korhogo;K211;Napiéléodougou;31004;6429
CI280210;K;Savanes;K2;Korhogo;K212;N'Ganon;9181;1767
CI280213;K;Savanes;K2;Korhogo;K213;Niofoin;36772;6844
